parte,tema,titulo,LEY,articulo,tipo,tema_no_juridico
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",54,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",55,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",56,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",57,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",58,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",59,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",60,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",61,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",62,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",63,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",64,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",65,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",66,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",67,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",68,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",69,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",70,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",71,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",72,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",73,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",74,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",75,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",76,JURIDICO,
GENERAL,6,"La Ley 5/1983, de 30 de diciembre, del Consell","Ley 5/1983, de 30 de diciembre",77,JURIDICO,
